"","x"
"1193","10005 intron2"
"1194","10006 intron11"
"1195","107985943 intron1"
"1196","10735 intron6"
"1197","105374676 intron11"
"1198","10142 intron15"
"1199","10643 intron5"
"1200","124902291 intron1"
"1201","11343 intron1"
"1202","11344 intron1"
"1203","10844 intron19"
"1204","100127967 intron2"
"1205","100127983 intron5"
"1206","124902565 intron1"
"1207","124902601 intron1"
"1208","124902602 intron1"
"1209","124902603 intron1"
"1210","124902606 intron1"
"1211","124902609 intron1"
"1212","112268413 intron1"
"1213","100129935 intron1"
"1214","100129940 intron2"
"1215","105373535 intron2"
"1216","105374645 intron1"
"1217","101927278 intron2"
"1218","101927279 intron1"
"1219","1290 intron56"
"1220","124903076 intron1"
"1221","124903087 intron1"
"1222","10345 intron28"
"1223","140683 intron1"
"1224","101929025 intron4"
"1225","115701 intron1"
"1226","105377302 intron1"
"1227","105371046 intron2"
"1228","105371049 intron1"
"1229","145497 intron14"
"1230","145497 intron15"
"1231","107984661 intron1"
"1232","105376250 intron3"
"1233","100289678 intron2"
"1234","112268118 intron2"
"1235","139324 intron3"
"1236","139324 intron2"
"1237","120103 intron8"
"1238","120103 intron7"
"1239","149465 intron6"
"1240","149465 intron8"
"1241","127294 intron15"
"1242","105375909 intron1"
"1243","105375924 intron1"
"1244","100287718 intron2"
"1245","100287718 intron3"
"1246","127294 intron32"
"1247","105371600 intron3"
"1248","11187 intron6"
"1249","113263 intron4"
"1250","105370651 intron1"
"1251","10349 intron13"
"1252","1088 intron1"
"1253","101927430 intron1"
"1254","124905024 intron1"
"1255","105376625 intron1"
"1256","11190 intron8"
"1257","11190 intron9"
"1258","101927272 intron1"
"1259","145858 intron1"
"1260","11227 intron9"
"1261","118738 intron3"
"1262","101927440 intron1"
"1263","114881 intron3"
"1264","114659 intron10"
"1265","1147 intron15"
"1266","137492 intron5"
"1267","123624 intron24"
"1268","154313 intron10"
"1269","10274 intron2"
"1270","10276 intron2"
"1271","10276 intron5"
"1272","10276 intron9"
"1273","10276 intron12"
"1274","105374958 intron2"
"1275","105374965 intron2"
"1276","105374971 intron2"
"1277","105374971 intron4"
"1278","11194 intron14"
"1279","105372633 intron1"
"1280","127602 intron59"
"1281","127579 intron8"
"1282","127579 intron2"
"1283","105370605 intron2"
"1284","10681 intron4"
"1285","100134015 intron2"
"1286","105375554 intron4"
"1287","101929034 intron1"
"1288","10188 intron5"
"1289","10188 intron1"
"1290","10189 intron5"
"1291","10189 intron2"
"1292","10189 intron1"
"1293","1019 intron5"
"1294","101927411 intron1"
"1295","101927413 intron4"
"1296","135112 intron17"
"1297","105377291 intron1"
"1298","105377294 intron1"
"1299","107985900 intron1"
"1300","107985909 intron1"
"1301","101927417 intron3"
"1302","1193 intron5"
"1303","105376388 intron3"
"1304","101927452 intron5"
"1305","127602 intron83"
"1306","10349 intron30"
"1307","10349 intron24"
"1308","107303344 intron1"
"1309","150365 intron20"
"1310","105377447 intron1"
"1311","153733 intron3"
"1312","132014 intron15"
"1313","101927108 intron1"
"1314","100996597 intron1"
"1315","107984391 intron2"
"1316","101927445 intron2"
"1317","124901641 intron1"
"1318","10855 intron11"
"1319","105375890 intron2"
"1320","105377876 intron3"
"1321","105377881 intron2"
"1322","105372432 intron1"
"1323","105373062 intron1"
"1324","105378236 intron2"
"1325","103689845 intron2"
"1326","100506834 intron2"
"1327","1180 intron17"
"1328","1180 intron19"
"1329","1180 intron20"
"1330","1181 intron22"
"1331","105377459 intron6"
"1332","11198 intron18"
"1333","1277 intron19"
"1334","105377459 intron10"
"1335","105371559 intron2"
"1336","105371559 intron1"
"1337","105371562 intron1"
"1338","105376541 intron2"
"1339","138255 intron1"
"1340","138311 intron1"
"1341","105374928 intron6"
"1342","124901255 intron1"
"1343","124901257 intron1"
"1344","124901267 intron1"
"1345","105373904 intron1"
"1346","10640 intron11"
"1347","105378848 intron2"
"1348","128637 intron4"
"1349","1287 intron1"
"1350","1287 intron14"
"1351","105376874 intron1"
"1352","105373394 intron2"
"1353","130752 intron3"
"1354","10777 intron31"
"1355","105377465 intron2"
"1356","101927506 intron7"
"1357","101927511 intron1"
"1358","102723490 intron6"
"1359","102723490 intron3"
"1360","105375955 intron1"
"1361","111082994 intron1"
"1362","10755 intron1"
"1363","124904103 intron2"
"1364","100128398 intron1"
"1365","124901338 intron1"
"1366","102725180 intron2"
"1367","126308 intron4"
"1368","105373941 intron1"
"1369","105377434 intron1"
"1370","100132406 intron88"
"1371","105374828 intron1"
"1372","100130742 intron3"
"1373","100529207 intron2"
"1374","10718 intron7"
"1375","105378211 intron2"
"1376","105378215 intron4"
"1377","109729180 intron4"
"1378","109729184 intron2"
"1379","10858 intron16"
"1380","101929798 intron3"
"1381","10982 intron5"
"1382","127 intron6"
"1383","105372339 intron2"
"1384","10040 intron1"
"1385","10040 intron3"
"1386","105378427 intron7"
"1387","105378429 intron1"
"1388","124903131 intron1"
"1389","124903132 intron1"
"1390","105372711 intron3"
"1391","10636 intron12"
"1392","10640 intron14"
"1393","105374790 intron2"
"1394","147179 intron9"
"1395","105375717 intron1"
"1396","105375717 intron3"
"1397","101930010 intron3"
"1398","101930100 intron2"
"1399","100506810 intron2"
"1400","100506826 intron1"
"1401","124902801 intron1"
"1402","10631 intron8"
"1403","100874203 intron2"
"1404","11216 intron6"
"1405","107985457 intron2"
"1406","105374739 intron2"
"1407","101927484 intron3"
"1408","124905231 intron1"
"1409","138639 intron5"
"1410","105371307 intron2"
"1411","113523642 intron2"
"1412","100874212 intron2"
"1413","100874216 intron2"
"1414","107986781 intron2"
"1415","105370260 intron2"
"1416","103724390 intron2"
"1417","105374834 intron2"
"1418","105374846 intron1"
"1419","11278 intron15"
"1420","10060 intron39"
"1421","152578 intron4"
"1422","105374931 intron1"
"1423","105369872 intron3"
"1424","10051 intron12"
"1425","124900748 intron2"
"1426","11190 intron20"
"1427","112268071 intron2"
"1428","1413 intron8"
"1429","11283 intron8"
"1430","11283 intron12"
"1431","11284 intron16"
"1432","100130522 intron2"
"1433","100130548 intron2"
"1434","100130581 intron4"
"1435","114883 intron20"
"1436","10765 intron8"
"1437","105371313 intron2"
"1438","114827 intron9"
"1439","107984839 intron1"
"1440","107984851 intron2"
"1441","107984872 intron1"
"1442","144165 intron5"
"1443","107985962 intron2"
"1444","100885777 intron1"
"1445","100885779 intron1"
"1446","100885782 intron2"
"1447","10776 intron6"
"1448","10776 intron5"
"1449","124907897 intron1"
"1450","124900756 intron2"
"1451","124900758 intron1"
"1452","105378178 intron8"
"1453","100507421 intron3"
"1454","105376714 intron2"
"1455","136319 intron2"
"1456","1295 intron2"
"1457","101929162 intron3"
"1458","116986 intron10"
"1459","116986 intron9"
"1460","107985005 intron2"
"1461","10322 intron6"
"1462","10059 intron18"
"1463","10110 intron4"
"1464","107984041 intron7"
"1465","130916 intron4"
"1466","102723536 intron3"
"1467","102723546 intron4"
"1468","1237 intron1"
"1469","123706507 intron1"
"1470","130162 intron3"
"1471","130271 intron3"
"1472","1457 intron6"
"1473","116447 intron1"
"1474","124901752 intron1"
"1475","124901757 intron1"
"1476","11269 intron11"
"1477","112694756 intron3"
"1478","105373970 intron2"
"1479","1130 intron29"
"1480","100852408 intron1"
"1481","100852410 intron3"
"1482","100859921 intron12"
"1483","105369947 intron2"
"1484","101927131 intron2"
"1485","101927134 intron4"
"1486","101927134 intron2"
"1487","127845 intron3"
"1488","114827 intron20"
"1489","1215 intron3"
"1490","105375239 intron1"
"1491","105375243 intron1"
"1492","133746 intron7"
"1493","105379385 intron3"
"1494","10651 intron3"
"1495","1373 intron4"
"1496","1308 intron46"
"1497","1308 intron42"
"1498","1308 intron38"
"1499","105371893 intron1"
"1500","105371896 intron1"
"1501","126410 intron12"
"1502","105373909 intron1"
"1503","10721 intron3"
"1504","1103 intron11"
"1505","1303 intron18"
"1506","10749 intron15"
"1507","11213 intron9"
"1508","157310 intron6"
"1509","124904199 intron1"
"1510","105376943 intron1"
"1511","151903 intron7"
"1512","10576 intron11"
"1513","101927575 intron2"
"1514","101927575 intron3"
"1515","139212 intron4"
"1516","135295 intron1"
"1517","10765 intron13"
"1518","147872 intron13"
"1519","114880 intron5"
"1520","124904889 intron1"
"1521","100506637 intron1"
"1522","101927362 intron1"
"1523","100652857 intron5"
"1524","147660 intron4"
"1525","147660 intron5"
"1526","101927556 intron2"
"1527","102724446 intron1"
"1528","105378797 intron3"
"1529","10484 intron19"
"1530","105373864 intron1"
"1531","151126 intron6"
"1532","124903665 intron2"
"1533","124903665 intron1"
"1534","127943 intron3"
"1535","10277 intron23"
"1536","105378726 intron3"
"1537","105378726 intron4"
"1538","10013 intron25"
"1539","105371449 intron1"
"1540","10523 intron15"
"1541","105369723 intron1"
"1542","105369724 intron2"
"1543","101927587 intron3"
"1544","101927590 intron2"
"1545","10019 intron7"
"1546","149013 intron16"
"1547","105373177 intron1"
"1548","105373188 intron4"
"1549","124902284 intron1"
"1550","104472715 intron118"
"1551","104472715 intron119"
"1552","10847 intron25"
"1553","143162 intron10"
"1554","105375055 intron2"
"1555","105375065 intron1"
"1556","102725509 intron4"
"1557","115196 intron5"
"1558","10350 intron2"
"1559","10351 intron25"
"1560","10086 intron12"
"1561","105374016 intron10"
"1562","101929088 intron3"
"1563","11101 intron4"
"1564","11105 intron7"
"1565","105370057 intron1"
"1566","10667 intron8"
"1567","10667 intron10"
"1568","10671 intron6"
"1569","10325 intron1"
"1570","10325 intron5"
"1571","10325 intron9"
"1572","11127 intron4"
"1573","124905155 intron1"
"1574","10956 intron12"
"1575","105375272 intron2"
"1576","120 intron1"
"1577","143872 intron15"
"1578","105369543 intron2"
"1579","105371191 intron2"
"1580","105371217 intron2"
"1581","105371223 intron1"
"1582","124901154 intron1"
"1583","100286938 intron1"
"1584","105378696 intron2"
"1585","101929244 intron1"
"1586","101929247 intron4"
"1587","107985740 intron3"
"1588","107985740 intron2"
"1589","10097 intron4"
"1590","10098 intron5"
"1591","100506084 intron2"
"1592","105372899 intron1"
"1593","101927615 intron1"
"1594","101927616 intron2"
"1595","153201 intron1"
"1596","153222 intron10"
"1597","105378801 intron2"
"1598","105378806 intron2"
"1599","11136 intron8"
"1600","11136 intron4"
"1601","1294 intron12"
"1602","10529 intron28"
"1603","10529 intron2"
"1604","105379054 intron2"
"1605","124901019 intron2"
"1606","100130742 intron7"
"1607","100130950 intron1"
"1608","100130950 intron2"
"1609","105370463 intron1"
"1610","100130950 intron3"
"1611","105370475 intron3"
"1612","114899 intron7"
"1613","114899 intron6"
"1614","140732 intron6"
"1615","140738 intron4"
"1616","142678 intron20"
"1617","1183 intron7"
"1618","10402 intron7"
"1619","10403 intron2"
"1620","151242 intron5"
"1621","105372643 intron3"
"1622","105372645 intron1"
"1623","114882 intron1"
"1624","105377913 intron5"
"1625","105377922 intron3"
"1626","105377922 intron2"
"1627","100506049 intron6"
"1628","150726 intron6"
"1629","146802 intron15"
"1630","100288142 intron54"
"1631","154075 intron16"
"1632","100507607 intron9"
"1633","143162 intron14"
"1634","143162 intron13"
"1635","149013 intron17"
"1636","101927653 intron4"
"1637","101927664 intron2"
"1638","124902373 intron1"
"1639","138046 intron13"
"1640","138050 intron2"
"1641","105371845 intron2"
"1642","101929260 intron2"
"1643","101929260 intron1"
"1644","144535 intron43"
"1645","100996291 intron1"
"1646","10094 intron4"
"1647","10095 intron3"
"1648","10795 intron2"
"1649","146845 intron13"
"1650","150962 intron8"
"1651","1315 intron1"
"1652","105375095 intron3"
"1653","116843 intron3"
"1654","1445 intron12"
"1655","1445 intron16"
"1656","132320 intron10"
"1657","107986313 intron1"
"1658","107986319 intron2"
"1659","105369684 intron1"
"1660","105372212 intron2"
"1661","1130 intron48"
"1662","1258 intron27"
"1663","1258 intron26"
"1664","107983974 intron3"
"1665","101927678 intron1"
"1666","100288142 intron131"
"1667","1259 intron4"
"1668","105371942 intron2"
"1669","105371952 intron4"
"1670","102723557 intron2"
"1671","105371310 intron3"
"1672","105376045 intron2"
"1673","122152325 intron4"
"1674","136306 intron14"
"1675","107985460 intron1"
"1676","105377627 intron1"
"1677","100131211 intron1"
"1678","140893 intron12"
"1679","124904886 intron1"
"1680","11174 intron11"
"1681","105373222 intron2"
"1682","101927688 intron4"
"1683","101927691 intron1"
"1684","10620 intron1"
"1685","124906096 intron1"
"1686","124906098 intron2"
"1687","124906098 intron1"
"1688","127602 intron79"
"1689","1006 intron8"
"1690","101929284 intron2"
"1691","1280 intron23"
"1692","105370461 intron2"
"1693","146705 intron2"
"1694","146705 intron1"
"1695","146713 intron32"
"1696","100996432 intron4"
"1697","100506409 intron2"
"1698","100506422 intron1"
"1699","1415 intron1"
"1700","11226 intron2"
"1701","100287290 intron2"
"1702","121441 intron7"
"1703","121457 intron2"
"1704","105373896 intron4"
"1705","111216286 intron1"
"1706","100996425 intron1"
"1707","100996432 intron8"
"1708","101927314 intron6"
"1709","105376297 intron2"
"1710","1287 intron48"
"1711","1311 intron4"
"1712","101927267 intron1"
"1713","101927268 intron2"
"1714","10076 intron8"
"1715","101927715 intron1"
"1716","107986437 intron1"
"1717","10253 intron1"
"1718","105369710 intron1"
"1719","124902807 intron2"
"1720","124902807 intron1"
"1721","11284 intron1"
"1722","105374040 intron2"
"1723","105376275 intron1"
"1724","11005 intron30"
"1725","100996654 intron1"
"1726","124902678 intron1"
"1727","140685 intron6"
"1728","10575 intron2"
"1729","10575 intron1"
"1730","105755953 intron2"
"1731","105377372 intron3"
"1732","116447 intron2"
"1733","105377481 intron11"
"1734","105377481 intron10"
"1735","1294 intron53"
"1736","101928505 intron1"
"1737","126668 intron16"
"1738","124904054 intron1"
"1739","124904057 intron1"
"1740","100131213 intron1"
"1741","1306 intron36"
"1742","1306 intron38"
"1743","1306 intron39"
"1744","10428 intron2"
"1745","101927699 intron1"
"1746","105374060 intron6"
"1747","10556 intron3"
"1748","100008586 intron4"
"1749","10001 intron5"
"1750","10001 intron2"
"1751","124904482 intron1"
"1752","100506497 intron2"
"1753","105376083 intron6"
"1754","129049 intron16"
"1755","105378858 intron2"
"1756","105373686 intron3"
"1757","100128988 intron1"
"1758","10514 intron26"
"1759","10514 intron17"
"1760","112577460 intron2"
"1761","124903455 intron1"
"1762","124903456 intron1"
"1763","100996590 intron2"
"1764","100996590 intron3"
"1765","105371998 intron1"
"1766","124900941 intron1"
"1767","124900942 intron1"
"1768","102724723 intron2"
"1769","102724732 intron2"
"1770","102723885 intron2"
"1771","105376497 intron1"
"1772","105369793 intron5"
"1773","10629 intron7"
"1774","10458 intron1"
"1775","10483 intron7"
"1776","10483 intron15"
"1777","102723955 intron3"
"1778","1063 intron10"
"1779","145508 intron4"
"1780","145508 intron3"
"1781","10350 intron11"
"1782","10350 intron10"
"1783","100873945 intron1"
"1784","101927795 intron1"
"1785","101927797 intron1"
"1786","10229 intron7"
"1787","10231 intron5"
"1788","118568799 intron3"
"1789","118597831 intron1"
"1790","151056 intron25"
"1791","151056 intron37"
"1792","11319 intron10"
"1793","152273 intron14"
"1794","1523 intron4"
"1795","129049 intron25"
"1796","129080 intron1"
"1797","129080 intron10"
"1798","105371256 intron3"
"1799","105371257 intron3"
"1800","11193 intron2"
"1801","147837 intron1"
"1802","1431 intron8"
"1803","143162 intron19"
"1804","11096 intron3"
"1805","139105 intron5"
"1806","139105 intron3"
"1807","139135 intron1"
"1808","105376981 intron2"
"1809","105376988 intron2"
"1810","105377864 intron7"
"1811","101929388 intron3"
"1812","101929388 intron1"
"1813","101929406 intron1"
"1814","112267858 intron1"
"1815","126402 intron5"
"1816","157 intron9"
"1817","1010 intron4"
"1818","10101 intron3"
"1819","140458 intron2"
"1820","126917 intron8"
"1821","140766 intron21"
"1822","116496 intron5"
"1823","100506195 intron4"
"1824","105372666 intron7"
"1825","105372666 intron12"
"1826","105372666 intron18"
"1827","105378569 intron2"
"1828","147710 intron3"
"1829","105374122 intron6"
"1830","100507428 intron1"
"1831","141 intron2"
"1832","1410 intron4"
"1833","102723879 intron3"
"1834","102723895 intron2"
"1835","102723906 intron2"
"1836","111216275 intron1"
"1837","102724830 intron2"
"1838","10385 intron5"
"1839","10388 intron39"
"1840","100132963 intron4"
"1841","102723944 intron1"
"1842","105377911 intron4"
"1843","1258 intron9"
"1844","105376627 intron2"
"1845","105376635 intron4"
"1846","100689074 intron2"
"1847","100689074 intron1"
"1848","1173 intron10"
"1849","140469 intron14"
"1850","140469 intron33"
"1851","147920 intron9"
"1852","124904858 intron2"
"1853","11189 intron8"
"1854","105372434 intron1"
"1855","122060 intron8"
"1856","147645 intron1"
"1857","105369513 intron5"
"1858","157556 intron1"
"1859","117143 intron1"
"1860","117145 intron4"
"1861","105373817 intron1"
"1862","105376088 intron2"
"1863","105376088 intron1"
"1864","105376091 intron1"
"1865","132954 intron1"
"1866","11214 intron25"
"1867","105377009 intron2"
"1868","113026 intron8"
"1869","11309 intron12"
"1870","1373 intron35"
"1871","105377633 intron2"
"1872","115509 intron3"
"1873","124901567 intron1"
"1874","129138 intron4"
"1875","10369 intron3"
"1876","108 intron23"
"1877","1080 intron3"
"1878","105378641 intron7"
"1879","121278 intron9"
"1880","10260 intron16"
"1881","105371016 intron2"
"1882","11201 intron11"
"1883","11202 intron4"
"1884","106144578 intron2"
"1885","145389 intron7"
"1886","1291 intron8"
"1887","130106 intron2"
"1888","130106 intron1"
"1889","114884 intron6"
"1890","127602 intron46"
"1891","100505768 intron3"
"1892","124906124 intron1"
"1893","124906127 intron1"
"1894","100302526 intron1"
"1895","1106 intron31"
"1896","124903813 intron2"
"1897","124903820 intron2"
"1898","105371974 intron3"
"1899","101927855 intron1"
"1900","131873 intron12"
"1901","131873 intron13"
"1902","105375271 intron2"
"1903","125931 intron12"
"1904","105370302 intron4"
"1905","10528 intron15"
"1906","152137 intron6"
"1907","105370224 intron2"
"1908","105370228 intron1"
"1909","1286 intron36"
"1910","1286 intron35"
"1911","1286 intron34"
"1912","105373021 intron1"
"1913","101929387 intron1"
"1914","105377815 intron1"
"1915","107984425 intron1"
"1916","105372897 intron2"
"1917","124903555 intron1"
"1918","114882 intron22"
"1919","114882 intron13"
"1920","105379351 intron1"
"1921","105379351 intron2"
"1922","10979 intron10"
"1923","100034743 intron6"
"1924","100034743 intron5"
"1925","102723670 intron2"
"1926","101927888 intron3"
"1927","124903671 intron1"
"1928","124903673 intron1"
"1929","124903675 intron1"
"1930","124903460 intron1"
"1931","105377500 intron3"
"1932","150379 intron6"
"1933","140803 intron29"
"1934","152579 intron6"
"1935","11340 intron5"
"1936","146754 intron56"
"1937","1356 intron11"
"1938","105378351 intron1"
"1939","105371952 intron2"
"1940","105377103 intron1"
"1941","101927859 intron6"
"1942","114788 intron16"
"1943","114788 intron5"
"1944","105374873 intron1"
"1945","107985015 intron1"
"1946","100505664 intron3"
"1947","100505664 intron4"
"1948","11260 intron1"
"1949","152273 intron3"
"1950","10383 intron2"
"1951","124900674 intron2"
"1952","146754 intron79"
"1953","105374146 intron2"
"1954","124904177 intron1"
"1955","101927840 intron3"
"1956","105373644 intron2"
"1957","150159 intron1"
"1958","100132406 intron11"
"1959","132612 intron4"
"1960","132612 intron9"
"1961","10983 intron1"
"1962","11052 intron7"
"1963","1105 intron8"
"1964","10904 intron3"
"1965","147920 intron13"
"1966","107985838 intron2"
"1967","105372579 intron1"
"1968","105372592 intron1"
"1969","112268411 intron1"
"1970","105372626 intron1"
"1971","128025 intron5"
"1972","128025 intron6"
"1973","117248 intron9"
"1974","1294 intron92"
"1975","1294 intron76"
"1976","104472715 intron22"
"1977","101927367 intron7"
"1978","101927367 intron6"
"1979","1154 intron3"
"1980","115416 intron1"
"1981","116154 intron3"
"1982","10447 intron5"
"1983","130752 intron8"
"1984","100506939 intron2"
"1985","100506985 intron1"
"1986","105372356 intron3"
"1987","144568 intron6"
"1988","120 intron8"
"1989","105369890 intron9"
"1990","101927396 intron4"
"1991","11064 intron13"
"1992","111 intron31"
"1993","105372462 intron1"
"1994","100420587 intron3"
"1995","100506783 intron1"
"1996","100506787 intron1"
"1997","105375570 intron1"
"1998","101928051 intron1"
"1999","105375098 intron1"
"2000","101928344 intron8"
"2001","114881 intron22"
"2002","114881 intron20"
"2003","124901975 intron5"
"2004","124901975 intron3"
"2005","115352 intron15"
"2006","105376199 intron2"
"2007","107985554 intron1"
"2008","105375482 intron1"
"2009","102724580 intron1"
"2010","107985463 intron2"
"2011","107985469 intron1"
"2012","107985480 intron1"
"2013","107985484 intron6"
"2014","124902071 intron2"
"2015","124902072 intron1"
"2016","100506724 intron1"
"2017","139378 intron6"
"2018","124902039 intron3"
"2019","124902326 intron1"
"2020","124902327 intron1"
"2021","100144603 intron3"
"2022","105375666 intron1"
"2023","105373767 intron1"
"2024","105373771 intron2"
"2025","113201 intron9"
"2026","128853 intron11"
"2027","128853 intron8"
"2028","100288142 intron29"
"2029","1380 intron5"
"2030","101928674 intron2"
"2031","134265 intron11"
"2032","100507316 intron2"
"2033","10147 intron11"
"2034","10549 intron3"
"2035","101928084 intron4"
"2036","101928085 intron1"
"2037","150290 intron3"
"2038","105375751 intron4"
"2039","101928085 intron2"
"2040","105370890 intron5"
"2041","105377891 intron4"
"2042","152006 intron7"
"2043","152015 intron4"
"2044","128866 intron2"
"2045","150596 intron3"
"2046","101928106 intron2"
"2047","101928111 intron1"
"2048","117246 intron11"
"2049","101928118 intron2"
"2050","121725015 intron2"
"2051","121793 intron4"
"2052","100508631 intron1"
"2053","105372714 intron2"
"2054","105371867 intron2"
"2055","151195 intron5"
"2056","105370904 intron1"
"2057","105370904 intron2"
"2058","127540 intron2"
